epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.7273048758506775,,,,,
0,99,,0.3636280596256256,,,,,
0,118,,,7.294428825378418,0.042528435587882996,8.531070709228516,0.041012246161699295,3.8290114402770996
0,118,0.5059216618537903,,,,,,
1,149,,0.2610824704170227,,,,,
1,199,,0.4205806255340576,,,,,
1,237,,,7.074239730834961,0.04122142121195793,8.288875579833984,0.039893727749586105,3.8317534923553467
1,237,0.4547303318977356,,,,,,
2,249,,0.29016098380088806,,,,,
2,299,,0.3888823390007019,,,,,
2,349,,0.1542748063802719,,,,,
2,356,,,7.145812034606934,0.04186687618494034,8.373993873596191,0.04020950198173523,3.7017266750335693
2,356,0.4513974189758301,,,,,,
3,399,,0.5249426364898682,,,,,
3,449,,0.43567317724227905,,,,,
3,475,,,6.860138893127441,0.03998022526502609,8.082267761230469,0.038860123604536057,3.7156171798706055
3,475,0.4456374943256378,,,,,,
4,499,,0.46263670921325684,,,,,
4,549,,0.44605952501296997,,,,,
4,594,,,6.919476509094238,0.040408164262771606,8.119820594787598,0.039088305085897446,3.6778290271759033
4,594,0.4455658793449402,,,,,,
